Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_1972325_2 # 339 # 428 # 1 # ID=205329_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556	ACH58987.1	gb|ACH58987.1|LRA-3 [uncultured bacterium BLR3]	EU408348.1	blaLRA-3	AKSOIL_0003	ACH58987.1
k141_1525264_2 # 419 # 487 # 1 # ID=205431_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.333	AAK84316.1	gb|AAK84316.1|vatD [Enterococcus faecium]	AF368302.1	vatD	NA	AAK84316.1
k141_2597527_1 # 3 # 80 # -1 # ID=205927_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.615	CAA25854.1	gb|CAA25854.1|APH(6)-Ic [Escherichia coli]	X01702.1	NA	NA	CAA25854.1
k141_900300_3 # 1807 # 1974 # 1 # ID=206401_3;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.494	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_3043759_1 # 2 # 112 # -1 # ID=206964_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.559	WGF22896.1	gb|WGF22896.1|PSZ-1 [Pantoea sp.]	OQ725878.1	blaPSZ	NA	WGF22896.1
k141_1882865_2 # 335 # 433 # 1 # ID=207701_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.293	ACH58989.1	gb|ACH58989.1|LRA-9 [uncultured bacterium BLR9]	EU408350.1	blaLRA-9	AKSOIL_0005	ACH58989.1
k141_2240454_1 # 2 # 94 # -1 # ID=207916_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.505	XDO57252.1	gb|XDO57252.1|PER-17 [Pseudomonas aeruginosa]	PQ119971.1	blaPER	NA	XDO57252.1
k141_454010_2 # 591 # 665 # 1 # ID=209076_2;partial=01;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.480	ATL63232.1	gb|ATL63232.1|mphJ [Brevibacillus brevis Vm4]	KY753883.1	mphJ	NA	ATL63232.1
k141_185835_1 # 2 # 451 # 1 # ID=209398_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.682	QXW20276.1	gb|QXW20276.1|CAE-1 [Comamonas aquatica]	CP079746.1	bla	KXJ72_16960	QXW20276.1
k141_811360_2 # 761 # 835 # 1 # ID=210230_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.507	AIK02012.1	gb|AIK02012.1|AAC(6')-Ib8 [Enterobacter cloacae]	KF998105.1	aac(6')-Ib	NA	AIK02012.1
k141_2686628_1 # 1 # 60 # -1 # ID=211268_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.267	AHE40505.1	gb|AHE40505.1|mphN [Exiguobacterium sp. S3-2]	KF648874.1	mph	NA	AHE40505.1
k141_1347132_1 # 1 # 207 # 1 # ID=213771_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.449	AIA08936.1	gb|AIA08936.1|rphA [Streptomyces sp. WAC4747]	KJ151292.1	NA	NA	AIA08936.1
k141_2686724_1 # 1 # 408 # -1 # ID=214475_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.627	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1436699_1 # 3 # 206 # -1 # ID=214874_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.373	CAA88265.1	gb|CAA88265.1|SAT-3 [Escherichia coli]	Z48231.1	sat3	NA	CAA88265.1
k141_2151008_1 # 3 # 110 # -1 # ID=215140_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.519	AAS13767.1	gb|AAS13767.1|Mrx [Aeromonas hydrophila]	AY522923.1	mrx	NA	AAS13767.1
k141_2955038_1 # 3 # 89 # -1 # ID=215932_1;partial=10;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.586	AAA92037.1	gb|AAA92037.1|cph [Saccharothrix mutabilis subsp. capreolus]	U13078.1	cph	NA	AAA92037.1
k141_1615096_2 # 512 # 943 # 1 # ID=216054_2;partial=01;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_3133872_2 # 545 # 616 # 1 # ID=216125_2;partial=01;start_type=ATG;rbs_motif=AATAA;rbs_spacer=7bp;gc_cont=0.306	CAA54269.1	gb|CAA54269.1|nimC [Bacteroides thetaiotaomicron]	X76948.1	nimC	NA	CAA54269.1
k141_1169103_2 # 348 # 455 # 1 # ID=219074_2;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.407	UZQ18797.1	gb|UZQ18797.1|OXA-1170 [Pseudomonas aeruginosa]	OP806897.1	blaOXA	NA	UZQ18797.1
k141_2865546_1 # 3 # 398 # 1 # ID=219656_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.515	AAA27459.1	gb|AAA27459.1|aadS [Transposon Tn4551]	M72415.1	aadS	NA	AAA27459.1
k141_632622_1 # 1 # 105 # -1 # ID=222866_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.362	CAA90891.1	gb|CAA90891.1|BRO-2 [Moraxella catarrhalis ATCC 43617]	Z54181.1	bla	NA	CAA90891.1
k141_454545_2 # 591 # 674 # 1 # ID=223752_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.607	AFH36331.1	gb|AFH36331.1|OXA-237 [Acinetobacter baumannii]	JQ820241.1	blaOXA-237	NA	AFH36331.1
k141_1704974_1 # 2 # 61 # -1 # ID=224100_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533	WP_063860832.1	gb|WP_063860832.1|LUT-6 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_049289.1	blaLUT	A7J11_02331	WP_063860832.1
k141_365442_1 # 2 # 82 # -1 # ID=225539_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.358	QIM09823.1	gb|QIM09823.1|tet(X6) [Proteus genomosp. 6]	MN507533.1	tet(X)	NA	QIM09823.1
k141_2329733_1 # 268 # 333 # 1 # ID=225871_1;partial=01;start_type=ATG;rbs_motif=GGGT;rbs_spacer=5bp;gc_cont=0.515	ENV45890.1	gb|ENV45890.1|OXA-277 [Acinetobacter schindleri CIP 107287]	KB849587.1	NA	F955_00114	ENV45890.1
k141_454702_2 # 103 # 201 # 1 # ID=227261_2;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=8bp;gc_cont=0.232	UWS41116.1	gb|UWS41116.1|RAD-1 [Riemerella anatipestifer]	CP104076.1	blaRAD	N1F80_01035	UWS41116.1
k141_2062047_1 # 3 # 68 # -1 # ID=227949_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.212	UAN29726.1	gb|UAN29726.1|IMI-23 [Serratia ureilytica]	CP074169.1	blaIMI	KGP23_24460	UAN29726.1
k141_1347610_1 # 1 # 96 # -1 # ID=229790_1;partial=10;start_type=ATG;rbs_motif=TACAA;rbs_spacer=14bp;gc_cont=0.281	AAK84316.1	gb|AAK84316.1|vatD [Enterococcus faecium]	AF368302.1	vatD	NA	AAK84316.1
k141_2329920_2 # 295 # 384 # 1 # ID=230587_2;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.244	AWX35642.1	gb|AWX35642.1|CFE-2 [Citrobacter freundii]	MF543129.1	ampC	NA	AWX35642.1
k141_2151685_1 # 3 # 95 # -1 # ID=232069_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.634	AKQ05894.1	gb|AKQ05894.1|tet(50) [uncultured bacterium]	KR857684.1	tet(50)	NA	AKQ05894.1
k141_723266_2 # 192 # 266 # 1 # ID=233361_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.440	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_1615694_1 # 582 # 725 # 1 # ID=233501_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500	ADF48907.1	gb|ADF48907.1|FosH [Pseudomonas aeruginosa]	GU966683.1	NA	NA	ADF48907.1
k141_723279_2 # 355 # 429 # 1 # ID=233600_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_454927_1 # 2 # 70 # -1 # ID=233634_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.725	QHR93773.1	gb|QHR93773.1|FosL1 [Escherichia coli]	MN464149.1	fosL1	NA	QHR93773.1
k141_723286_2 # 173 # 247 # 1 # ID=233707_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_723313_1 # 154 # 531 # 1 # ID=234510_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.646	QXW20276.1	gb|QXW20276.1|CAE-1 [Comamonas aquatica]	CP079746.1	bla	KXJ72_16960	QXW20276.1
k141_1258802_1 # 2 # 166 # -1 # ID=234682_1;partial=10;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.467	ACB54703.1	gb|ACB54703.1|VIM-16 [Pseudomonas aeruginosa]	EU419746.1	blaVIM-16	NA	ACB54703.1
k141_1526433_1 # 1 # 561 # -1 # ID=235877_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.608	AAM92461.1	gb|AAM92461.1|catB8 [Salmonella enterica subsp. enterica serovar Typhi]	AY123251.1	catB8	NA	AAM92461.1
k141_723372_1 # 3 # 80 # -1 # ID=236666_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577	ACH58991.1	gb|ACH58991.1|LRA-13 [uncultured bacterium BLR13]	EU408352.1	blaLRA-13	AKSOIL_0007	ACH58991.1
k141_8345_1 # 1 # 315 # -1 # ID=238400_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.575	WP_152315465.1	gb|WP_152315465.1|IMP-85 [Pseudomonas aeruginosa]	NG_066696.1	blaIMP	A7J11_06550	WP_152315465.1
k141_2330155_1 # 3 # 713 # -1 # ID=238844_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.392	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_8429_1 # 1 # 561 # -1 # ID=240025_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.570	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1259011_1 # 244 # 330 # 1 # ID=240101_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.506	WP_053816671.1	gb|WP_053816671.1|PDC-151 [Pseudomonas aeruginosa]	NZ_JBJZRW010000010.1	NA	ACNQ2R_RS17115	WP_053816671.1
k141_1347996_1 # 2 # 106 # -1 # ID=240689_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.657	WP_063864596.1	gb|WP_063864596.1|PER-8 [Acinetobacter baumannii]	NZ_JAIWUP010000091.1	NA	LDY18_RS19060	WP_063864596.1
k141_455241_1 # 1 # 237 # -1 # ID=241666_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.430	ADD80743.1	gb|ADD80743.1|PER-6 [Aeromonas allosaccharophila]	GQ396303.1	blaPER-6	NA	ADD80743.1
k141_544362_2 # 605 # 841 # 1 # ID=244503_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418	WP_136512084.1	gb|WP_136512084.1|OXA-788 [Providencia stuartii]	NG_064749.1	blaOXA	A7J11_06186	WP_136512084.1
k141_2866453_2 # 381 # 470 # 1 # ID=245415_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.600	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_2062679_1 # 1 # 66 # -1 # ID=246732_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.500	AAN73274.1	gb|AAN73274.1|KLUG-1 [Kluyvera georgiana]	AF501233.1	blaKLUG-1	NA	AAN73274.1
k141_2777657_1 # 3 # 86 # -1 # ID=247130_1;partial=10;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.464	MDY6468282.1	gb|MDY6468282.1|OXA-1263 [Acinetobacter faecalis]	NA	NA	NA	NA
k141_3135077_2 # 216 # 356 # 1 # ID=248492_2;partial=01;start_type=ATG;rbs_motif=AATAA;rbs_spacer=3bp;gc_cont=0.404	AKQ05896.1	gb|AKQ05896.1|tet(52) [uncultured bacterium]	KR857686.1	tet(52)	NA	AKQ05896.1
k141_2420468_1 # 1 # 69 # -1 # ID=250835_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.449	AJP77071.1	gb|AJP77071.1|PEDO-2 [Pedobacter sp. ALS-14]	KP109678.1	blaPEDO-2	NA	AJP77071.1
k141_455669_1 # 2 # 67 # -1 # ID=252164_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.439	AGJ01153.1	gb|AGJ01153.1|KPC-16 [Klebsiella pneumoniae]	KC465199.1	blaKPC-16	NA	AGJ01153.1
k141_97954_1 # 2 # 283 # 1 # ID=252616_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.404	AUX87883.1	gb|AUX87883.1|OXA-1036 [Acinetobacter sp.]	CP026412.1	NA	C3F34_07585	AUX87883.1
k141_633670_1 # 1 # 66 # -1 # ID=253157_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364	BDT38936.1	gb|BDT38936.1|OXA-1163 [Aeromonas caviae]	LC733701.1	blaOXA	NA	BDT38936.1
k141_1081240_1 # 3 # 215 # -1 # ID=255586_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.380	AAA03550.1	gb|AAA03550.1|AAC(2')-Ia [Providencia stuartii]	L06156.2	aac(2')-Ia	NA	AAA03550.1
k141_2688079_1 # 2 # 163 # -1 # ID=255854_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549	WP_053816671.1	gb|WP_053816671.1|PDC-151 [Pseudomonas aeruginosa]	NZ_JBJZRW010000010.1	NA	ACNQ2R_RS17115	WP_053816671.1
k141_2956471_1 # 3 # 344 # -1 # ID=257195_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.652	BDT38928.1	gb|BDT38928.1|MOX-23 [Aeromonas caviae]	LC733693.1	blaMOX	NA	BDT38928.1
k141_3045437_1 # 3 # 140 # -1 # ID=257921_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522	CAE48335.2	gb|CAE48335.2|AAC(6')-30/AAC(6')-Ib' bifunctional protein [Pseudomonas aeruginosa]	AJ584652.2	aac(6')-30/aac(6')-Ib'	NA	CAE48335.2
k141_2152677_1 # 1 # 69 # -1 # ID=257927_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609	CAA68516.1	gb|CAA68516.1|APH(6)-Ia [Streptomyces griseus]	Y00459.1	aphD	NA	CAA68516.1
k141_98161_1 # 1 # 273 # -1 # ID=257935_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.289	WP_005405613.1	gb|WP_005405613.1|OXA-814 [Acinetobacter radioresistens]	NZ_JBEAEH010000004.1	NA	ABLT88_RS03600	WP_005405613.1
k141_2330857_1 # 2 # 304 # -1 # ID=258843_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.380	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_276953_1 # 2 # 235 # 1 # ID=261855_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.483	MBU4627809.1	gb|MBU4627809.1|PFM-4 [Pseudomonas sp. BF61]	NA	NA	NA	NA
k141_2956657_2 # 205 # 342 # 1 # ID=262074_2;partial=01;start_type=ATG;rbs_motif=ATA;rbs_spacer=10bp;gc_cont=0.529	AGH88989.1	gb|AGH88989.1|BRP(MBL) [Acinetobacter baumannii]	KC503911.1	bleMBL	pNDM-AB_010	AGH88989.1
k141_1081544_2 # 274 # 348 # 1 # ID=262945_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587	AFI72872.1	gb|AFI72872.1|CARB-14 [Acinetobacter baumannii]	JQ364968.1	blaRTG-5	NA	AFI72872.1
k141_1884686_1 # 284 # 355 # 1 # ID=263083_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.514	WP_148044424.1	gb|WP_148044424.1|PAU-1 [Pseudomonas aeruginosa]	NZ_JBHOAB010000072.1	NA	ACKKG0_RS33060	WP_148044424.1
k141_634052_1 # 2 # 301 # -1 # ID=264682_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.663	AAA92254.1	gb|AAA92254.1|ANT(4')-Ia [Plasmid pTB913]	K02551.1	kan	NA	AAA92254.1
k141_9024_2 # 440 # 517 # 1 # ID=265240_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.321	AGW16416.1	gb|AGW16416.1|OXA-334 [Acinetobacter johnsonii]	KF203108.1	blaOXA-334	NA	AGW16416.1
k141_277117_1 # 2 # 283 # -1 # ID=265296_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.262	WP_020848173.1	gb|WP_020848173.1|OXA-491 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_JBFCOE010000015.1	NA	AB0W19_RS10245	WP_020848173.1
k141_2956783_2 # 223 # 351 # 1 # ID=265949_2;partial=01;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.434	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_724508_1 # 1 # 240 # -1 # ID=266633_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.467	ACH58994.1	gb|ACH58994.1|LRA-17 [uncultured bacterium BLR17]	EU408354.1	blaLRA-17	AKSOIL_0009	ACH58994.1
k141_2956831_1 # 1 # 105 # -1 # ID=266932_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.495	QIM09823.1	gb|QIM09823.1|tet(X6) [Proteus genomosp. 6]	MN507533.1	tet(X)	NA	QIM09823.1
k141_2688548_1 # 3 # 62 # -1 # ID=267387_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.533	WP_041884311.1	gb|WP_041884311.1|PLN-1 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_055471.1	blaPLN	A7J11_05110	WP_041884311.1
k141_2867230_3 # 777 # 836 # 1 # ID=267593_3;partial=01;start_type=ATG;rbs_motif=TATAA;rbs_spacer=3bp;gc_cont=0.317	CAK55557.1	gb|CAK55557.1|AAC(6')-31 [Pseudomonas putida]	AM283489.1	aac(6')-31	NA	CAK55557.1
k141_1974495_3 # 854 # 1030 # 1 # ID=268215_3;partial=01;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.492	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_2599794_1 # 3 # 83 # -1 # ID=268586_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.704	AAT46346.1	gb|AAT46346.1|LHK-7 [Laribacter hongkongensis]	AY632076.1	ampC	NA	AAT46346.1
k141_1260104_2 # 822 # 911 # 1 # ID=270053_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.667	ACS73598.1	gb|ACS73598.1|GES-10 [uncultured bacterium]	FJ820124.1	NA	NA	ACS73598.1
k141_2956965_1 # 3 # 170 # -1 # ID=270523_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.500	ACH58991.1	gb|ACH58991.1|LRA-13 [uncultured bacterium BLR13]	EU408352.1	blaLRA-13	AKSOIL_0007	ACH58991.1
k141_1171118_3 # 849 # 920 # 1 # ID=270531_3;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.403	WP_136512069.1	gb|WP_136512069.1|IMP-46 [Pseudomonas putida]	NG_064725.1	blaIMP	A7J11_06201	WP_136512069.1
k141_1348895_1 # 3 # 527 # -1 # ID=271945_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.257	UOF88498.1	gb|UOF88498.1|OXA-1108 [Aliarcobacter butzleri]	OM617734.1	blaOXA	NA	UOF88498.1
k141_456390_1 # 3 # 101 # -1 # ID=273275_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.212	AAB23649.1	gb|AAB23649.1|Vibrio anguillarum chloramphenicol acetyltransferase [Vibrio anguillarum]	S48276.1	cat	NA	AAB23649.1
k141_3045873_1 # 2 # 223 # 1 # ID=273686_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_2600025_2 # 335 # 454 # 1 # ID=274059_2;partial=01;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.475	WP_063865164.1	gb|WP_063865164.1|VHH-1 [Vibrio harveyi]	NG_050334.1	blaVHH	A7J11_00912	WP_063865164.1
k141_1885028_1 # 244 # 471 # 1 # ID=274755_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605	CEA29751.1	gb|CEA29751.1|SHV-188 [Klebsiella pneumoniae]	LN515534.1	SHV-188	NA	CEA29751.1
k141_1439167_1 # 3 # 599 # -1 # ID=276073_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.491	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_3136059_1 # 3 # 416 # 1 # ID=276792_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.362	ENV82218.1	gb|ENV82218.1|OXA-299 [Acinetobacter bouvetii DSM 14964 = CIP 107468]	KB849727.1	NA	NA	NA
k141_277513_1 # 39 # 452 # 1 # ID=277103_1;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.382	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_277519_1 # 1 # 84 # -1 # ID=277181_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.440	WP_105620838.1	gb|WP_105620838.1|CMA-2 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_JAWIRI010000001.1	NA	NA	NA
k141_3046014_2 # 152 # 388 # 1 # ID=277641_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.570	AJE60855.1	gb|AJE60855.1|fosA5 [Escherichia coli]	KP143090.1	fosA5	NA	AJE60855.1
k141_1349123_1 # 2 # 85 # -1 # ID=277745_1;partial=10;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.595	WP_032974004.1	gb|WP_032974004.1|CMA-1 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_CP187999.1	NA	NA	NA
k141_1974882_1 # 2 # 79 # -1 # ID=278033_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.590	WP_072186106.1	gb|WP_072186106.1|RUB-1 [Serratia rubidaea]	NZ_CBIFXG010000009.1	NA	ACT15J_RS13950	WP_072186106.1
k141_724868_1 # 2 # 511 # -1 # ID=278182_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.541	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_3046106_1 # 1 # 222 # 1 # ID=279987_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.689	AAA26548.1	gb|AAA26548.1|AAC(3)-IIb [Serratia marcescens]	M97172.1	aac3-Vb	NA	AAA26548.1
k141_903051_1 # 3 # 191 # -1 # ID=280320_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.339	WP_164461288.1	gb|WP_164461288.1|CVI-1 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_JAHWXW010000021.1	NA	KYS80_RS18030	WP_164461288.1
k141_1171656_1 # 86 # 205 # 1 # ID=282826_1;partial=01;start_type=ATG;rbs_motif=AACAA;rbs_spacer=12bp;gc_cont=0.533	AJI75632.1	gb|AJI75632.1|FPH-1 [Francisella philomiragia subsp. philomiragia ATCC 25015]	CP010019.1	NA	BZ13_74	AJI75632.1
k141_2867804_1 # 326 # 388 # 1 # ID=283419_1;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.397	ACH58990.1	gb|ACH58990.1|LRA-12 [uncultured bacterium BLR12]	EU408351.1	blaLRA-12	AKSOIL_0006	ACH58990.1
