user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binning_output.050	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp949499045	GCA_949499045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp949499045	96.41	0.718	GCA_949499045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp949499045	96.41	0.718	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013283365.1, s__Marinobacterium_E sp013283365, 95.0, 87.7, 0.603; GCA_018623095.1, s__Marinobacterium_E sp018623095, 95.0, 83.98, 0.346	42.44	11	N/A	Genome has more than 18.3% of markers with multiple hits
binning_output.051	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030162955.1, s__Comamonas jiangduensis, 95.0, 94.44, 0.193	17.62	11	0.97891	N/A
binning_output.052	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__	N/A	N/A	N/A	N/A	N/A	GCA_003268905.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax defluvii	96.08	0.225	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	17.86	11	0.98984	Genome has more than 12.5% of markers with multiple hits
binning_output.053	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	GCF_000155775.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	98.89	0.754	GCF_000155775.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	98.89	0.754	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949498985.1, s__Opacimonas sp949498985, 95.0, 82.13, 0.302	86.73	11	N/A	N/A
binning_output.054	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030162955.1, s__Comamonas jiangduensis, 95.0, 95.1, 0.23; GCA_028690035.1, s__Comamonas sp028690035, 95.0, 94.54, 0.189	21.65	11	0.97966	Genome has more than 15.0% of markers with multiple hits
binning_output.055	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	20.87	11	0.62309	Genome has more than 10.8% of markers with multiple hits
binning_output.056	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_017995775.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter sp017995775	89.61	0.209	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 89.03, 0.208; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 87.94, 0.212; GCF_013177675.1, s__Aliarcobacter acticola, 95.0, 87.67, 0.185; GCA_028681275.1, s__Aliarcobacter sp028681275, 95.0, 86.97, 0.194; GCF_013201725.1, s__Aliarcobacter defluvii, 95.0, 86.96, 0.188; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 86.88, 0.195; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 86.86, 0.182; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 86.64, 0.177; GCA_028688995.1, s__Aliarcobacter sp028688995, 95.0, 86.42, 0.198; GCA_028689025.1, s__Aliarcobacter sp028689025, 95.0, 86.42, 0.188; GCF_013177635.1, s__Aliarcobacter aquimarinus, 95.0, 86.29, 0.159; GCA_028703945.1, s__Aliarcobacter sp028703945, 95.0, 86.11, 0.171; GCA_018816105.1, s__Aliarcobacter sp018816105, 95.0, 86.11, 0.164; GCF_013201665.1, s__Aliarcobacter venerupis, 95.0, 86.0, 0.2	21.85	11	0.97036	Genome has more than 13.3% of markers with multiple hits
binning_output.057	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	N/A	N/A	N/A	N/A	N/A	GCA_018623095.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp018623095	82.67	0.353	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949499045.1, s__Marinobacterium_E sp949499045, 95.0, 87.79, 0.459; GCF_013283365.1, s__Marinobacterium_E sp013283365, 95.0, 85.6, 0.45	62.74	11	0.9923	Genome has more than 14.2% of markers with multiple hits
binning_output.058	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__Lentibacter algarum	GCF_900107355.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__Lentibacter algarum	99.75	0.906	GCF_900107355.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__Lentibacter algarum	99.75	0.906	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018500125.2, s__Lentibacter sp018500125, 95.0, 84.04, 0.376; GCF_025751535.1, s__Lentibacter sp025751535, 95.0, 80.73, 0.193	79.34	11	N/A	Genome has more than 16.7% of markers with multiple hits
binning_output.059	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.4	0.699	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.4	0.699	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_959599425.1, s__Phocaeicola sp959599425, 95.0, 99.36, 0.486; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 98.52, 0.369; GCA_958434805.1, s__Phocaeicola sp958434805, 95.0, 98.41, 0.358; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 98.18, 0.371; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 96.77, 0.362; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 96.52, 0.362; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 95.94, 0.375; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 95.68, 0.607; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 94.15, 0.446; GCA_948956705.1, s__Phocaeicola sp948956705, 95.0, 92.0, 0.371; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 90.44, 0.474; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 89.71, 0.497; GCA_947173895.1, s__Phocaeicola sp947173895, 95.0, 79.89, 0.168	72.51	11	N/A	Genome has more than 18.3% of markers with multiple hits
binning_output.060	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.7%)
binning_output.061	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__JAFGUR01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017988045.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__JAFGUR01;s__JAFGUR01 sp017988045	98.43	0.337	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__JAFGUR01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	49.67	11	0.99618	Genome has more than 15.0% of markers with multiple hits
binning_output.062	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	N/A	N/A	N/A	N/A	N/A	GCA_016790885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp016790885	98.1	0.225	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_028864255.1, s__Azonexus agitatus, 95.0, 87.57, 0.199; GCF_945957265.1, s__Azonexus sp945957265, 95.0, 87.37, 0.177; GCF_022012295.1, s__Azonexus hankyongensis, 95.0, 87.0, 0.169	30.27	11	0.99292	Genome has more than 27.5% of markers with multiple hits
binning_output.063	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.8%)
binning_output.064	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	N/A	N/A	N/A	N/A	N/A	GCF_002234375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis	96.47	0.153	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	34.12	11	0.98318	Genome has more than 16.7% of markers with multiple hits
binning_output.065	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis	GCF_014647135.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis	98.2	0.786	GCF_014647135.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis	98.2	0.786	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000146165.2, s__Shewanella oneidensis, 95.0, 89.96, 0.563; GCF_000485795.1, s__Shewanella decolorationis, 95.0, 89.74, 0.569; GCF_029835735.1, s__Shewanella sp029835735, 95.0, 89.73, 0.535; GCF_022410515.1, s__Shewanella sp022410515, 95.0, 89.48, 0.576; GCF_025449215.1, s__Shewanella seohaensis, 95.11, 89.37, 0.518; GCF_000014685.1, s__Shewanella sp000014685, 95.0, 89.35, 0.52; GCF_019457635.1, s__Shewanella mangrovisoli, 95.0, 89.23, 0.535; GCF_012584455.1, s__Shewanella oncorhynchi, 95.0, 88.84, 0.225; GCF_019655335.1, s__Shewanella hafniensis, 95.0, 86.09, 0.191; GCF_900456975.1, s__Shewanella baltica, 95.0, 85.83, 0.183; GCF_024197625.1, s__Shewanella sp024197625, 95.0, 84.97, 0.172; GCF_002783505.1, s__Shewanella sp002783505, 95.0, 84.52, 0.168; GCF_000217915.1, s__Shewanella sp000217915, 95.0, 84.27, 0.179; GCF_016406305.1, s__Shewanella putrefaciens_C, 95.0, 84.13, 0.182	24.85	11	N/A	N/A
binning_output.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	28.62	11	0.73193	N/A
binning_output.067	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.46	0.639	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.46	0.639	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000194175.1, s__Escherichia coli_F, 95.0, 96.02, 0.662; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.16, 0.556; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 92.73, 0.594; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.6, 0.598; GCF_029876145.1, s__Escherichia ruysiae, 95.0, 92.49, 0.622; GCF_011881725.1, s__Escherichia coli_E, 95.0, 91.85, 0.632; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.5, 0.618; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.14, 0.412; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.61, 0.558; GCF_000759775.1, s__Escherichia albertii, 95.0, 89.84, 0.522	47.53	11	N/A	Genome has more than 27.5% of markers with multiple hits
binning_output.068	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.2%)
binning_output.069	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__	N/A	N/A	N/A	N/A	N/A	GCF_000420525.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__Aquaspirillum serpens	94.85	0.641	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	35.35	11	0.99752	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binning_output.070	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_017995775.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter sp017995775	91.72	0.193	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018816105.1, s__Aliarcobacter sp018816105, 95.0, 89.47, 0.202; GCF_013177675.1, s__Aliarcobacter acticola, 95.0, 89.25, 0.233; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 89.1, 0.153; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 87.99, 0.173; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 87.96, 0.168; GCA_028681275.1, s__Aliarcobacter sp028681275, 95.0, 87.84, 0.182; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 87.84, 0.174; GCA_028689025.1, s__Aliarcobacter sp028689025, 95.0, 87.8, 0.16; GCA_028703945.1, s__Aliarcobacter sp028703945, 95.0, 87.59, 0.173; GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 87.47, 0.151; GCA_028688995.1, s__Aliarcobacter sp028688995, 95.0, 87.32, 0.16; GCF_013201665.1, s__Aliarcobacter venerupis, 95.0, 87.19, 0.169	16.74	11	0.96976	Genome has more than 26.7% of markers with multiple hits
binning_output.071	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCF_000020605.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	98.37	0.881	GCF_000020605.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	98.37	0.881	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902786155.1, s__Agathobacter sp900317585, 95.0, 95.21, 0.675; GCA_937935345.1, s__Agathobacter sp900546625, 95.0, 94.95, 0.784; GCA_934365945.1, s__Agathobacter sp934365945, 95.0, 93.66, 0.586	80.08	11	N/A	N/A
binning_output.072	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	12.41	11	0.9875	N/A
binning_output.073	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	12.37	11	0.96826	N/A
binning_output.074	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	GCA_000431835.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	98.73	0.846	GCA_000431835.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	98.73	0.846	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002449335.1, s__Succinivibrio sp002449335, 95.0, 90.64, 0.615; GCA_900315395.1, s__Succinivibrio sp900315395, 95.0, 90.63, 0.588; GCA_934218695.1, s__Succinivibrio sp934218695, 95.0, 86.36, 0.423	73.19	11	N/A	Genome has more than 19.2% of markers with multiple hits
binning_output.075	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas koreensis	GCF_001431525.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas koreensis	97.88	0.538	GCF_001431525.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas koreensis	97.88	0.538	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001431485.1, s__Stenotrophomonas ginsengisoli, 95.0, 87.72, 0.277	30.37	11	N/A	Genome has more than 20.8% of markers with multiple hits
binning_output.076	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JALQUL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JALQUL01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	13.37	11	0.91525	Genome has more than 11.7% of markers with multiple hits
binning_output.077	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	34.44	11	0.96071	Genome has more than 32.5% of markers with multiple hits
binning_output.078	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003990335.1, s__Pararheinheimera mangrovi, 95.0, 92.75, 0.343; GCA_018815765.1, s__Pararheinheimera sp018815765, 95.0, 91.38, 0.28; GCF_021290965.1, s__Pararheinheimera faecalis, 95.0, 90.17, 0.286; GCF_014645135.1, s__Pararheinheimera tangshanensis, 95.0, 90.16, 0.201; GCF_947090785.1, s__Pararheinheimera sp947090785, 95.0, 89.67, 0.284; GCF_021290985.1, s__Pararheinheimera soli, 95.0, 88.73, 0.185; GCF_029269265.1, s__Pararheinheimera sp029269265, 95.0, 88.38, 0.175; GCA_946482615.1, s__Pararheinheimera sp946482615, 95.0, 87.85, 0.159	20.91	11	0.95799	N/A
binning_output.079	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	42.38	11	0.97045	N/A
binning_output.080	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017995775.1, s__Aliarcobacter sp017995775, 95.0, 89.99, 0.239; GCF_013177675.1, s__Aliarcobacter acticola, 95.0, 87.31, 0.223; GCA_018816105.1, s__Aliarcobacter sp018816105, 95.0, 87.12, 0.235; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 84.91, 0.165; GCA_028688995.1, s__Aliarcobacter sp028688995, 95.0, 84.65, 0.159; GCA_028703945.1, s__Aliarcobacter sp028703945, 95.0, 84.6, 0.176; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 84.36, 0.166; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 84.35, 0.183; GCA_028689025.1, s__Aliarcobacter sp028689025, 95.0, 84.16, 0.158; GCA_028681275.1, s__Aliarcobacter sp028681275, 95.0, 83.91, 0.194	13.01	11	0.93774	Genome has more than 13.3% of markers with multiple hits
binning_output.081	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_017984035.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp017984035	97.64	0.491	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001800905.1, s__Flavobacterium sp001800905, 95.0, 90.31, 0.334; GCA_002382495.1, s__Flavobacterium sp002382495, 95.0, 89.53, 0.297; GCF_020886055.1, s__Flavobacterium ammoniigenes, 95.0, 89.25, 0.311; GCF_020886115.1, s__Flavobacterium ammonificans, 95.0, 87.54, 0.262; GCF_024642105.1, s__Flavobacterium sp024642105, 95.0, 86.44, 0.239; GCA_017988155.1, s__Flavobacterium sp017988155, 95.0, 86.41, 0.233; GCF_029866485.1, s__Flavobacterium keumense, 95.0, 85.11, 0.229; GCA_947461425.1, s__Flavobacterium sp947461425, 95.0, 83.21, 0.18	21.75	11	0.99999	Genome has more than 18.3% of markers with multiple hits
